"lessonID";"userID";"lessonName";"moduleNum";"lessonNum";"groupName";"lessonDate";"lessonTime";"duration";"type";"price"
"690";"1";"Digital Creativity";"1";"3";"empty";"2022-02-18";"18:00:00";"01:00:00";"Group";"18"
"691";"1";"Digital Creativity";"6";"2";"empty";"2022-02-20";"18:00:00";"01:30:00";"Group";"27"
"692";"1";"3D Modelling";"1";"1";"empty";"2022-02-23";"18:00:00";"01:30:00";"Group";"27"
"693";"1";"Digital Creativity";"1";"3";"empty";"2022-02-24";"18:00:00";"01:00:00";"Group";"18"
"694";"1";"3D Modelling";"1";"1";"empty";"2022-02-25";"18:00:00";"01:30:00";"Group";"27"
"695";"1";"Digital Creativity";"6";"3";"empty";"2022-02-27";"18:00:00";"01:30:00";"Group";"27"
"696";"1";"3D Modelling";"1";"2";"Online656_WED-6";"2022-03-02";"18:00:00";"01:30:00";"Group";"27"
"697";"1";"3D Modelling";"1";"2";"Online679_FRI-6";"2022-03-04";"18:00:00";"01:30:00";"Group";"27"
"698";"1";"Digital Creativity";"6";"4";"Online171_SUN-6";"2022-03-06";"18:00:00";"01:30:00";"Group";"27"
"699";"1";"3D Modelling";"1";"3";"Online656_WED-6";"2022-03-09";"18:00:00";"01:30:00";"Group";"27"
"700";"1";"3D Modelling";"1";"3";"Online679_FRI-6";"2022-03-11";"18:00:00";"01:30:00";"Group";"27"
"701";"1";"Digital Creativity";"1";"1";"Online773_SUN-4";"2022-03-13";"18:00:00";"01:30:00";"Group";"18"
"702";"1";"Digital Creativity";"7";"1";"Online171_SUN-6";"2022-03-13";"18:00:00";"01:30:00";"Group";"27"
"703";"1";"3D Modelling";"1";"4";"Online656_WED-6";"2022-03-16";"18:00:00";"01:30:00";"Group";"27"
"704";"1";"3D Modelling";"1";"4";"Online679_FRI-6";"2022-03-18";"18:00:00";"01:30:00";"Group";"27"
"705";"1";"Digital Creativity";"1";"2";"Online773_SUN-4";"2022-03-20";"16:00:00";"01:00:00";"Group";"18"
"706";"1";"Digital Creativity";"7";"2";"Online171_SUN-6";"2022-03-20";"18:00:00";"01:30:00";"Group";"27"
"707";"1";"3D Modelling";"2";"1";"Online656_WED-6";"2022-03-23";"18:00:00";"01:30:00";"Group";"27"
"708";"1";"3D Modelling";"1";"1";"ENGind-74_THU-7";"2022-03-24";"19:00:00";"01:00:00";"Individual";"16"
"709";"1";"3D Modelling";"2";"1";"Online679_FRI-6";"2022-03-25";"18:00:00";"01:30:00";"Group";"27"
"710";"1";"Digital Creativity";"1";"3";"Online773_SUN-4";"2022-03-27";"16:00:00";"01:00:00";"Group";"18"
"711";"1";"Digital Creativity";"7";"3";"Online171_SUN-6";"2022-03-27";"18:00:00";"01:30:00";"Group";"27"
"712";"1";"3D Modelling";"2";"2";"Online656_WED-6";"2022-03-30";"18:00:00";"01:30:00";"Group";"27"
"713";"1";"3D Modelling";"1";"2";"ENGind-74_THU-7";"2022-03-31";"19:00:00";"01:00:00";"Individual";"16"
"714";"1";"3D Modelling";"2";"2";"Online679_FRI-6";"2022-04-01";"18:00:00";"01:30:00";"Group";"27"
"715";"1";"Digital Creativity";"1";"4";"Online773_SUN-4";"2022-04-03";"16:00:00";"01:00:00";"Group";"18"
"716";"1";"Digital Creativity";"7";"4";"Online171_SUN-6";"2022-04-03";"18:00:00";"01:30:00";"Group";"27"
"717";"1";"3D Modelling";"2";"3";"Online656_WED-6";"2022-04-06";"18:00:00";"01:30:00";"Group";"27"
"718";"1";"3D Modelling";"1";"3";"ENGind-74_THU-7";"2022-04-07";"19:00:00";"01:00:00";"Individual";"16"
"719";"1";"3D Modelling";"2";"3";"Online679_FRI-6";"2022-04-08";"18:00:00";"01:30:00";"Group";"27"
"720";"1";"3D Modelling";"4";"3";"Online469_SAT-4";"2022-04-09";"16:00:00";"01:30:00";"Group";"27"
"721";"1";"Digital Creativity";"2";"1";"Online773_SUN-4";"2022-04-10";"16:00:00";"01:00:00";"Group";"18"
"722";"1";"Digital Creativity";"8";"1";"Online171_SUN-6";"2022-04-10";"18:00:00";"01:30:00";"Group";"27"
"723";"1";"3D Modelling";"2";"4";"Online656_WED-6";"2022-04-13";"18:00:00";"01:30:00";"Group";"27"
"724";"1";"3D Modelling";"1";"4";"ENGind-74_THU-7";"2022-04-14";"19:00:00";"01:00:00";"Individual";"16"
"725";"1";"3D Modelling";"2";"4";"Online679_FRI-6";"2022-04-15";"18:00:00";"01:30:00";"Group";"27"
"726";"1";"3D Modelling";"4";"4";"Online469_SAT-4";"2022-04-16";"16:00:00";"01:30:00";"Group";"27"
"727";"1";"3D Modelling";"3";"1";"Online656_WED-6";"2022-04-20";"18:00:00";"01:30:00";"Group";"27"
"728";"1";"3D Modelling";"2";"1";"ENGind-74_THU-7";"2022-04-21";"19:00:00";"01:00:00";"Individual";"16"
"729";"1";"3D Modelling";"3";"1";"Online679_FRI-6";"2022-04-22";"18:00:00";"01:30:00";"Group";"27"
"730";"1";"Digital Creativity";"8";"2";"Online171_SUN-6";"2022-04-24";"18:00:00";"01:30:00";"Group";"27"
"731";"1";"3D Modelling";"3";"2";"Online656_WED-6";"2022-04-27";"18:00:00";"01:30:00";"Group";"27"
"732";"1";"3D Modelling";"2";"2";"ENGind-74_THU-7";"2022-04-28";"19:00:00";"01:00:00";"Individual";"16"
"733";"1";"3D Modelling";"3";"2";"Online679_FRI-6";"2022-04-29";"18:00:00";"01:30:00";"Group";"27"
"734";"1";"Digital Creativity";"8";"3";"Online171_SUN-6";"2022-05-01";"18:00:00";"01:30:00";"Group";"27"
"735";"1";"3D Modelling";"3";"3";"Online656_WED-6";"2022-05-04";"18:00:00";"01:30:00";"Group";"27"
"736";"1";"3D Modelling";"2";"3";"ENGind-74_THU-7";"2022-05-05";"19:00:00";"01:00:00";"Individual";"16"
"737";"1";"3D Modelling";"3";"3";"Online679_FRI-6";"2022-05-06";"18:00:00";"01:30:00";"Group";"27"
"738";"1";"Digital Creativity";"8";"4";"Online171_SUN-6";"2022-05-08";"18:00:00";"01:30:00";"Group";"27"
"739";"1";"3D Modelling";"3";"4";"Online656_WED-6";"2022-05-11";"18:00:00";"01:30:00";"Group";"27"
"740";"1";"3D Modelling";"2";"4";"ENGind-74_THU-7";"2022-05-12";"19:00:00";"01:00:00";"Individual";"16"
"741";"1";"3D Modelling";"3";"4";"Online679_FRI-6";"2022-05-13";"18:00:00";"01:30:00";"Group";"27"
"742";"1";"3D Modelling";"4";"1";"Online656_WED-6";"2022-05-18";"18:00:00";"01:30:00";"Group";"27"
"743";"1";"3D Modelling";"3";"1";"ENGind-74_THU-7";"2022-05-19";"19:00:00";"01:00:00";"Individual";"16"
"744";"1";"3D Modelling";"4";"1";"Online679_FRI-6";"2022-05-20";"18:00:00";"01:30:00";"Group";"27"
"745";"1";"3D Modelling";"4";"2";"Online656_WED-6";"2022-05-25";"18:00:00";"01:30:00";"Group";"27"
"746";"1";"3D Modelling";"3";"2";"ENGind-74_THU-7";"2022-05-26";"19:00:00";"01:00:00";"Individual";"16"
"747";"1";"3D Modelling";"4";"2";"Online679_FRI-6";"2022-05-27";"18:00:00";"01:30:00";"Group";"27"
